Country,Continent,Country code,Low,Medium,High
Burundi,Africa,108,1.71,2.09,2.46
Comoros,Africa,174,0.83,1.28,1.7
Djibouti,Africa,262,-0.11,0.35,0.79
Eritrea,Africa,232,0.96,1.4,1.82
Ethiopia,Africa,231,0.69,1.14,1.57
Kenya,Africa,404,0.94,1.38,1.81
Madagascar,Africa,450,1.29,1.74,2.17
Malawi,Africa,454,1.43,1.85,2.26
Mauritius,Africa,480,-1,-0.46,0.07
Mayotte,Africa,175,0.97,1.38,1.77
Mozambique,Africa,508,1.59,1.98,2.34
R_union,Africa,638,-0.51,-0.02,0.48
Rwanda,Africa,646,0.65,1.1,1.53
Seychelles,Africa,690,-0.9,-0.34,0.2
Somalia,Africa,706,1.82,2.21,2.59
South Sudan,Africa,728,1.18,1.61,2.02
Uganda,Africa,800,1.68,2.09,2.48
United Republic of Tanzania,Africa,834,1.73,2.15,2.54
Zambia,Africa,894,1.8,2.2,2.58
Zimbabwe,Africa,716,0.74,1.22,1.67
Angola,Africa,24,1.89,2.26,2.61
Cameroon,Africa,120,1.36,1.75,2.12
Central African Republic,Africa,140,1.06,1.5,1.9
Chad,Africa,148,1.47,1.84,2.19
Congo,Africa,178,1.5,1.93,2.33
Democratic Republic of the Congo,Africa,180,1.61,2.01,2.37
Equatorial Guinea,Africa,226,1.26,1.67,2.07
Gabon,Africa,266,0.78,1.2,1.6
Sao Tome and Principe,Africa,678,0.96,1.4,1.81
Algeria,Africa,12,0.13,0.57,1
Egypt,Africa,818,0.42,0.91,1.37
Libya,Africa,434,-0.36,0.13,0.59
Morocco,Africa,504,-0.19,0.28,0.74
Sudan,Africa,729,1.19,1.58,1.95
Tunisia,Africa,788,-0.29,0.19,0.66
Western Sahara,Africa,732,0.64,1.03,1.4
Botswana,Africa,72,0.18,0.65,1.1
Lesotho,Africa,426,0.31,0.86,1.37
Namibia,Africa,516,0.66,1.14,1.6
South Africa,Africa,710,-0.14,0.39,0.9
Swaziland,Africa,748,0.28,0.82,1.33
Benin,Africa,204,1.37,1.78,2.17
Burkina Faso,Africa,854,1.48,1.88,2.27
Cabo Verde,Africa,132,-0.11,0.4,0.9
CŽte d'Ivoire,Africa,384,1.48,1.89,2.28
Gambia,Africa,270,1.21,1.6,1.96
Ghana,Africa,288,0.84,1.28,1.7
Guinea,Africa,324,1.34,1.75,2.14
Guinea-Bissau,Africa,624,1.08,1.52,1.93
Liberia,Africa,430,1.29,1.73,2.14
Mali,Africa,466,1.57,1.97,2.34
Mauritania,Africa,478,1.21,1.6,1.97
Niger,Africa,562,2.58,2.91,3.22
Nigeria,Africa,566,1.51,1.89,2.25
Saint Helena,Africa,654,-0.76,-0.24,0.27
Senegal,Africa,686,1.42,1.81,2.18
Sierra Leone,Africa,694,0.58,1.07,1.52
Togo,Africa,768,1.08,1.53,1.95
China,Asia,156,-1.03,-0.53,-0.05
"China, Hong Kong SAR",Asia,344,-0.38,0.03,0.45
"China, Macao SAR",Asia,446,0.23,0.6,0.97
"China, Taiwan Province of China",Asia,158,-1.02,-0.57,-0.12
Dem. People's Republic of Korea,Asia,408,-0.71,-0.17,0.36
Japan,Asia,392,-0.99,-0.56,-0.12
Mongolia,Asia,496,-0.01,0.49,0.96
Republic of Korea,Asia,410,-0.96,-0.53,-0.11
Kazakhstan,Asia,398,-0.02,0.47,0.93
Kyrgyzstan,Asia,417,-0.04,0.48,0.98
Tajikistan,Asia,762,0.46,0.96,1.43
Turkmenistan,Asia,795,-0.08,0.45,0.95
Uzbekistan,Asia,860,-0.32,0.2,0.71
Afghanistan,Asia,4,0.45,0.92,1.36
Bangladesh,Asia,50,-0.43,0.1,0.62
Bhutan,Asia,64,-0.38,0.11,0.6
India,Asia,356,-0.36,0.17,0.69
Iran (Islamic Republic of),Asia,364,-0.57,-0.09,0.39
Maldives,Asia,462,-0.13,0.28,0.7
