Country,Molluscs,Other_Invertebrates,Plants,Fungi_Protists,Total,Continent,Region,species_type,thr_count
Algeria,11,29,22,0,143,Africa,North Africa,Mammals,14
Egypt,0,56,8,0,167,Africa,North Africa,Mammals,18
Libya,0,4,7,0,67,Africa,North Africa,Mammals,10
Morocco,37,32,52,2,228,Africa,North Africa,Mammals,18
Tunisia,7,13,9,0,100,Africa,North Africa,Mammals,14
Western Sahara,2,1,0,0,52,Africa,North Africa,Mammals,10
Angola,7,4,34,0,155,Africa,Sub-Saharan Africa,Mammals,18
Benin,2,1,20,0,95,Africa,Sub-Saharan Africa,Mammals,13
Botswana,0,0,3,0,33,Africa,Sub-Saharan Africa,Mammals,11
Burkina Faso,1,0,4,0,33,Africa,Sub-Saharan Africa,Mammals,9
Burundi,3,3,89,0,142,Africa,Sub-Saharan Africa,Mammals,14
Cabo Verde,13,0,51,0,116,Africa,Sub-Saharan Africa,Mammals,4
Cameroon,13,12,555,0,846,Africa,Sub-Saharan Africa,Mammals,46
Central African Republic,0,0,26,0,66,Africa,Sub-Saharan Africa,Mammals,16
Chad,4,0,6,0,48,Africa,Sub-Saharan Africa,Mammals,16
Comoros,0,76,9,0,120,Africa,Sub-Saharan Africa,Mammals,5
Congo,7,0,46,0,139,Africa,Sub-Saharan Africa,Mammals,15
"Congo, The Democratic Republic of the",44,10,148,0,390,Africa,Sub-Saharan Africa,Mammals,32
Cªte d'Ivoire,5,2,118,0,262,Africa,Sub-Saharan Africa,Mammals,31
Djibouti,1,56,3,0,107,Africa,Sub-Saharan Africa,Mammals,11
Equatorial Guinea,2,2,98,0,187,Africa,Sub-Saharan Africa,Mammals,23
Eritrea,1,57,6,0,136,Africa,Sub-Saharan Africa,Mammals,15
Eswatini,0,0,13,0,41,Africa,Sub-Saharan Africa,Mammals,9
Ethiopia,4,11,64,0,177,Africa,Sub-Saharan Africa,Mammals,34
Gabon,2,2,173,0,284,Africa,Sub-Saharan Africa,Mammals,18
Gambia,2,0,6,0,73,Africa,Sub-Saharan Africa,Mammals,10
Ghana,2,3,119,0,245,Africa,Sub-Saharan Africa,Mammals,21
Guinea,3,5,70,0,218,Africa,Sub-Saharan Africa,Mammals,30
Guinea-Bissau,2,0,6,0,83,Africa,Sub-Saharan Africa,Mammals,14
Kenya,20,71,243,0,505,Africa,Sub-Saharan Africa,Mammals,30
Lesotho,0,3,4,0,20,Africa,Sub-Saharan Africa,Mammals,4
Liberia,3,7,53,0,177,Africa,Sub-Saharan Africa,Mammals,24
