"","Country","Mammals","Birds","Reptiles","Amphibians","Fishes","Molluscs","Total","Continent","Low","Medium","High"
"1","Algeria",14,15,8,3,41,11,143,"Africa",0.13,0.57,1
"2","Angola",18,32,7,0,53,7,155,"Africa",1.89,2.26,2.61
"3","Benin",13,12,7,0,40,2,95,"Africa",1.37,1.78,2.17
"4","Botswana",11,16,1,0,2,0,33,"Africa",0.18,0.65,1.1
"5","Burkina Faso",9,12,3,0,4,1,33,"Africa",1.48,1.88,2.27
"6","Burundi",14,15,0,1,17,3,142,"Africa",1.71,2.09,2.46
"7","Cabo Verde",4,7,6,0,35,13,116,"Africa",-0.11,0.4,0.9
"8","Cameroon",46,29,13,56,122,13,846,"Africa",1.36,1.75,2.12
"9","Central African Republic",16,16,5,0,3,0,66,"Africa",1.06,1.5,1.9
"10","Chad",16,16,5,0,1,4,48,"Africa",1.47,1.84,2.19
"11","Comoros",5,14,5,0,11,0,120,"Africa",0.83,1.28,1.7
"12","Congo",15,7,6,1,57,7,139,"Africa",1.5,1.93,2.33
"13","Djibouti",11,12,1,0,23,1,107,"Africa",-0.11,0.35,0.79
"14","Egypt",18,14,13,0,58,0,167,"Africa",0.42,0.91,1.37
"15","Equatorial Guinea",23,6,8,4,44,2,187,"Africa",1.26,1.67,2.07
"16","Eritrea",15,21,7,0,29,1,136,"Africa",0.96,1.4,1.82
"17","Ethiopia",34,35,3,12,14,4,177,"Africa",0.69,1.14,1.57
"18","Gabon",18,7,7,3,72,2,284,"Africa",0.78,1.2,1.6
"19","Gambia",10,14,6,0,35,2,73,"Africa",1.21,1.6,1.96
"20","Ghana",21,23,8,11,58,2,245,"Africa",0.84,1.28,1.7
"21","Guinea",30,20,9,5,76,3,218,"Africa",1.34,1.75,2.14
"22","Guinea-Bissau",14,12,8,0,41,2,83,"Africa",1.08,1.52,1.93
"23","Kenya",30,44,12,11,74,20,505,"Africa",0.94,1.38,1.81
"24","Lesotho",4,8,0,0,1,0,20,"Africa",0.31,0.86,1.37
"25","Liberia",24,14,8,4,64,3,177,"Africa",1.29,1.73,2.14
"26","Libya",10,8,6,0,32,0,67,"Africa",-0.36,0.13,0.59
"27","Madagascar",121,37,139,145,111,35,1858,"Africa",1.29,1.74,2.17
"28","Malawi",10,19,4,5,36,7,122,"Africa",1.43,1.85,2.26
"29","Mali",14,17,4,0,2,0,49,"Africa",1.57,1.97,2.34
"30","Mauritania",18,19,6,0,45,2,91,"Africa",1.21,1.6,1.97
"31","Mauritius",7,12,11,0,21,29,262,"Africa",-1,-0.46,0.07
"32","Mayotte",2,3,7,0,8,0,93,"Africa",0.97,1.38,1.77
"33","Morocco",18,18,13,2,54,37,228,"Africa",-0.19,0.28,0.74
"34","Mozambique",17,30,14,5,72,0,347,"Africa",1.59,1.98,2.34
